,Unnamed: 0,title,date,stock,sub_category,sub_category_predicted_score,parent_category,parent_predicted_score,TRUE LABEL
112,,2012-08-03 08:22:00-04:00,BWC,,Leadership,0.060158767,Economic Indicators,0.160759345,
844,689934,Right Back Where We Started  08-15-2011,2011-08-15 19:20:00-04:00,IWM,Leadership,0.063918643,Company News,0.230872005,
1055,1044251,New 52-Week Lows For Monday Morning,2019-08-05 13:16:00-04:00,PVH,Fund Activities,0.068991691,Market Trends,0.267831862,Stock Trends
419,1150191,Thursday's S&P Sector Recap 6/23/11,2011-06-23 17:43:00-04:00,SLM,Stock Trends,0.075196475,Market Trends,0.241309524,
1069,234113,Compugen Announces Initial Validation of Additional B7/CD28 Protein Family Based Product Candidate ,2011-06-21 08:07:00-04:00,CGEN,Leadership,0.077016979,Company News,0.75344789,
541,1387307,"End-of-Day Market Summary for January 4, 2012",2012-01-04 16:22:00-05:00,XLS,Leadership,0.077415414,Market Trends,0.337511569,
436,1253129,Notable Call Options Activity in TripAdvisor,2012-02-28 10:36:00-05:00,TRIP,Consumer Sentiment,0.079601035,Market Trends,0.338032216,
778,177671,Label Expansion for Roche's Actemra - Analyst Blog,2011-01-06 17:00:00-05:00,BMY,Stock Trends,0.082665756,Market Trends,0.299112976,
645,503669,Relational Cuts Stake in Flowserve to 4.58%,2012-10-03 17:18:00-04:00,FLS,Fund Activities,0.086742081,Market Trends,0.22252436,
384,959251,New Streetsweeper Report: 'Ocean Power Technologies (OPTT): Wave Goodbye To This Wave Power Company',2014-04-03 10:09:00-04:00,OPTT,Leadership,0.087352082,Company News,0.536405265,
915,370941,Afternoon Losers; Demand Media Down 8%,2011-10-11 15:55:00-04:00,DMD,Asset Trends,0.089281954,Market Trends,0.42883873,
1065,441953,E*TRADE Reports Oct. Average Daily Trading Up 29% YoY,2013-11-13 08:06:00-05:00,ETFC,Leadership,0.089448445,Company News,0.303466469,
337,38896,"Piper Jaffray Maintains Neutral on Almost Family Inc, Lowers PT to $20.00",2013-02-27 15:56:00-05:00,AFAM,Stock Trends,0.090733282,Investment News,0.382898301,
566,82127,UPDATE: Dahlman Rose Downgrades Aegean Marine Petroleum Network To Hold,2011-02-18 10:37:00-05:00,ANW,Fund Activities,0.090961218,Company News,0.281908929,
807,13501,Wedbush Raises PT on Arctic Cat to $25 ,2011-12-28 13:29:00-05:00,ACAT,Employment,0.091643125,Investment News,0.349799782,
1145,447344,"Top Performing Industries For May 12, 2016",2016-05-12 10:49:00-04:00,EVI,Earnings,0.092081778,Market Trends,0.632218838,
677,1281002,Durable Goods: Dismal - Analyst Blog,2010-11-24 08:17:00-05:00,TXT,Asset Trends,0.092323929,Economic Indicators,0.27636236,
670,958108,OPKO Health Option Alert: Jun 19 $2.5 Calls at the Ask: 750 @ $0.29 vs 1629 OI; Ref=$2.37,2020-05-26 13:04:00-04:00,OPK,Investment Strategies,0.093390062,Investment News,0.351100117,
1036,148673,"The Russell 2000 Has Underwhelmed This Year, But Here's One Way To Play A Comeback",2015-12-03 14:33:00-05:00,BCPC,Investment Strategies,0.094345197,Investment News,0.327565342,
276,1311200,Saw 3D: Final Attempt Does the Trick for Lions Gate ,2010-11-01 10:39:00-04:00,VIA,Leadership,0.094866872,Industry Updates,0.20512931,
1177,1267416,First Now Tagged with Total System - Analyst Blog,2011-01-05 13:33:00-05:00,TSS,Tech Developments,0.094934188,Industry Updates,0.22299546,
808,16979,Access Midstream Partners Prices 8M Units at $54.85/Unit,2014-03-11 08:53:00-04:00,ACMP,Leadership,0.095357716,Investment News,0.317977786,
1112,579231,Jefferies Downgrades Gorman-Rupp from Hold to Underperform,2012-09-24 10:10:00-04:00,GRC,Leadership,0.096979268,Investment News,0.487307817,
642,623799,Piper Jaffray Lowers PT On Hollysys Automation To $10,2011-06-07 06:32:00-04:00,HOLI,Leadership,0.098727301,Investment News,0.306632847,
158,854652,108 Biggest Movers From Yesterday,2020-03-11 05:34:00-04:00,MRO,Stock Trends,0.099784583,Market Trends,0.334233731,
363,394220,35 Biggest Movers From Yesterday,2017-11-21 05:10:00-05:00,DY,Stock Trends,0.099875771,Market Trends,0.3256841,
1170,1281969,Tyler Technologies Signs SaaS Contract with Boulder City,2012-09-13 09:21:00-04:00,TYL,Leadership,0.099987112,Company News,0.621316195,
450,1247679,48 Biggest Movers From Yesterday,2018-10-30 04:42:00-04:00,TOWR,Stock Trends,0.100319609,Market Trends,0.321941346,
682,1339710,32 Biggest Movers From Yesterday,2017-12-29 05:15:00-05:00,WATT,Stock Trends,0.100333944,Market Trends,0.306600273,
